ont	gene
GOBP_AGING	SIRT1
GOBP_AGING	SLC12A2
GOBP_AGING	SLC1A2
GOBP_AGING	SLC30A10
GOBP_AGING	SLC32A1
GOBP_AGING	SLC6A3
GOBP_AGING	SMAD4
GOBP_AGING	SMC5
GOBP_AGING	SMC6
GOBP_AGING	SOD1
GOBP_AGING	SOD2
GOBP_AGING	SPI1
GOBP_AGING	SREBF1
GOBP_AGING	SRF
GOBP_AGING	SRR
GOBP_AGING	TACR3
GOBP_AGING	TBX2
GOBP_AGING	TBX3
GOBP_AGING	TERC
GOBP_AGING	TERF2
GOBP_AGING	TERT
GOBP_AGING	TFCP2L1
GOBP_AGING	TFRC
GOBP_AGING	TGFB3
GOBP_AGING	TGFBR2
GOBP_AGING	TH
GOBP_AGING	TIMP1
GOBP_AGING	TNFRSF1B
GOBP_AGING	TP53
GOBP_AGING	TP63
GOBP_AGING	TPRA1
GOBP_AGING	TREX1
GOBP_AGING	TSPO
GOBP_AGING	TWIST1
GOBP_AGING	TYMS
GOBP_AGING	UCP2
GOBP_AGING	UCP3
GOBP_AGING	ULK3
GOBP_AGING	VASH1
GOBP_AGING	VCAM1
GOBP_AGING	WNT1
GOBP_AGING	WNT16
GOBP_AGING	WRN
GOBP_AGING	YBX1
GOBP_AGING	YPEL3
GOBP_AGING	ZKSCAN3
GOBP_AGING	ZMIZ1
GOBP_AGING	ZMPSTE24
GOBP_AGING	ZNF277
GOBP_CELL_AGING	ABI3
GOBP_CELL_AGING	ABL1
GOBP_CELL_AGING	AKT3
GOBP_CELL_AGING	ARG2
GOBP_CELL_AGING	ARNTL
GOBP_CELL_AGING	ATM
GOBP_CELL_AGING	ATR
GOBP_CELL_AGING	B2M
GOBP_CELL_AGING	BCL2
GOBP_CELL_AGING	BCL6
GOBP_CELL_AGING	BGLAP
GOBP_CELL_AGING	BMPR1A
GOBP_CELL_AGING	BRCA2
GOBP_CELL_AGING	CALR
GOBP_CELL_AGING	CDK1
GOBP_CELL_AGING	CDK2
GOBP_CELL_AGING	CDK6
GOBP_CELL_AGING	CDKN1A
GOBP_CELL_AGING	CDKN1B
GOBP_CELL_AGING	CDKN2A
GOBP_CELL_AGING	CDKN2B
GOBP_CELL_AGING	CGAS
GOBP_CELL_AGING	CHEK1
GOBP_CELL_AGING	CHEK2
GOBP_CELL_AGING	CITED2
GOBP_CELL_AGING	CTC1
GOBP_CELL_AGING	DNAJA3
GOBP_CELL_AGING	ECRG4
GOBP_CELL_AGING	EEF1E1
GOBP_CELL_AGING	ERCC1
GOBP_CELL_AGING	FBXO5
GOBP_CELL_AGING	FOXM1
GOBP_CELL_AGING	FZR1
GOBP_CELL_AGING	H2AX
GOBP_CELL_AGING	HLA-G
GOBP_CELL_AGING	HMGA1
GOBP_CELL_AGING	HMGA2
GOBP_CELL_AGING	HRAS
GOBP_CELL_AGING	ID2
GOBP_CELL_AGING	IGF1R
GOBP_CELL_AGING	ING2
GOBP_CELL_AGING	KAT5
GOBP_CELL_AGING	KAT6A
GOBP_CELL_AGING	KIR2DL4
GOBP_CELL_AGING	LIMS1
GOBP_CELL_AGING	LMNA
GOBP_CELL_AGING	MAGEA2
GOBP_CELL_AGING	MAGEA2B
GOBP_CELL_AGING	MAP2K1
GOBP_CELL_AGING	MAP2K3
GOBP_CELL_AGING	MAP2K4
GOBP_CELL_AGING	MAP2K6
GOBP_CELL_AGING	MAP2K7
GOBP_CELL_AGING	MAP3K3
GOBP_CELL_AGING	MAP3K5
GOBP_CELL_AGING	MAPK10
GOBP_CELL_AGING	MAPK11
GOBP_CELL_AGING	MAPK14
GOBP_CELL_AGING	MAPK8
GOBP_CELL_AGING	MAPK9
GOBP_CELL_AGING	MAPKAPK5
GOBP_CELL_AGING	MARCHF5
GOBP_CELL_AGING	MIF
GOBP_CELL_AGING	MIR10A
GOBP_CELL_AGING	MIR146A
GOBP_CELL_AGING	MIR17
GOBP_CELL_AGING	MIR188
GOBP_CELL_AGING	MIR20B
GOBP_CELL_AGING	MIR21
GOBP_CELL_AGING	MIR217
GOBP_CELL_AGING	MIR22
GOBP_CELL_AGING	MIR342
GOBP_CELL_AGING	MIR34A
GOBP_CELL_AGING	MIR370
GOBP_CELL_AGING	MIR543
GOBP_CELL_AGING	MIR590
GOBP_CELL_AGING	MME
GOBP_CELL_AGING	MNT
GOBP_CELL_AGING	MORC3
GOBP_CELL_AGING	NEK4
GOBP_CELL_AGING	NEK6
GOBP_CELL_AGING	NOX4
GOBP_CELL_AGING	NPM1
GOBP_CELL_AGING	NSMCE2
GOBP_CELL_AGING	NUAK1
GOBP_CELL_AGING	NUP62
GOBP_CELL_AGING	OPA1
GOBP_CELL_AGING	PAWR
GOBP_CELL_AGING	PDCD4
GOBP_CELL_AGING	PLA2R1
GOBP_CELL_AGING	PLK2
GOBP_CELL_AGING	PML
GOBP_CELL_AGING	PNPT1
GOBP_CELL_AGING	PRELP
GOBP_CELL_AGING	PRKCD
GOBP_CELL_AGING	PRMT6
GOBP_CELL_AGING	PTEN
GOBP_CELL_AGING	RBL1
GOBP_CELL_AGING	ROMO1
GOBP_CELL_AGING	RSL1D1
GOBP_CELL_AGING	RWDD1
GOBP_CELL_AGING	SERPINE1
GOBP_CELL_AGING	SIRT1
GOBP_CELL_AGING	SLC30A10
GOBP_CELL_AGING	SMC5
GOBP_CELL_AGING	SMC6
GOBP_CELL_AGING	SOD1
GOBP_CELL_AGING	SPI1
GOBP_CELL_AGING	SRF
GOBP_CELL_AGING	TBX2
GOBP_CELL_AGING	TBX3
GOBP_CELL_AGING	TERC
GOBP_CELL_AGING	TERF2
