T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts	Risk
TCGA-AO-A12F-01	0.939249832593358	0.830684411635178	0.461720213751056	0.792444720596259	0.151242728224131	2.92437979158421	1.00111820502244	1.59820654703164	3.77247141962848	7.42097396315967	Low
TCGA-AO-A1KR-01	1.40880170088462	2.12887517982978	1.32029814469975	0.824394771403271	0.48862718558872	1.7766301241014	0.862522587500909	1.2302526535264	1.91934027936642	4.91548970374799	Low
TCGA-AQ-A04J-01	2.96744771685346	3.39569379689875	1.7829684616793	4.53178104483481	0.355991496067009	3.59523188013785	3.15164862282996	1.82288209582944	3.8553982151653	7.00884657961245	Low
TCGA-AR-A0TS-01	4.08141228738223	4.13215391606809	2.39943502732085	5.54446577177414	0.815189526421358	4.27335222813045	3.6546132683584	1.84790820732179	3.6775983568572	7.51369476529736	High
TCGA-AR-A0TU-01	2.22417966698319	2.95942345563418	1.7235000289518	0.724883735146921	0.527914027909924	4.21716776336176	2.55274242680209	1.32363766503336	2.244778906197	4.90812490307531	High
TCGA-AR-A0U4-01	1.9992344701347	1.44960779409075	1.57938588850291	0.968633259534307	0.402197906099931	5.72764428757088	5.14022402181294	2.52233149153209	2.85697851218007	7.10801906086784	Low
TCGA-AR-A1AR-01	2.85064606354396	2.98665601432448	1.94325303757215	1.65683463592242	0.570955061792964	5.78231351806524	3.363199216258	1.9098744758012	3.39357340476036	7.17974466807682	High
TCGA-AR-A1AY-01	0.955148915343185	0.670981006972438	1.03614652231468	0.3068452465506	0.371498616355913	3.61310826594872	1.72315326155194	1.74928634332323	2.9080118101968	7.66334043402582	Low
TCGA-AR-A256-01	1.57280465584112	3.80683708807266	1.5167123781757	0.717030259390472	0.255661374935203	4.37878525599687	2.55952030183391	1.60601270031115	2.61307799072869	6.52785419527732	High
TCGA-AR-A2LR-01	1.38163543454442	3.92308221568104	2.37031306747124	0.940673574871828	0.650211173766641	3.57069455082575	1.80786353623389	1.70656628428968	3.6909540910509	8.00337643853766	Low
TCGA-AR-A5QQ-01	3.17657691651014	3.44205384500746	2.17644598884191	3.15653454045962	0.584029929406959	4.39775794405178	3.33454657794592	2.11028988228679	2.82192845527	7.42735451936564	High
TCGA-B6-A3ZX-01	4.77636686515262	4.78815266960698	3.00160149164195	6.15626623844624	0.619178058512456	3.82839358327617	3.41635158437722	1.53582529650275	3.13033731833678	6.7634414667825	High
TCGA-B6-A400-01	2.36400913412429	2.12620519060366	1.39046937238993	0.713181440190727	0.322813636468445	4.07312476320735	4.83334798521154	1.84996061291777	2.94233391861522	7.72550660960583	High
TCGA-B6-A402-01	1.22792976256859	1.64241204708745	1.29839486004649	0.310850582832801	0.120988042926738	2.47596484475601	0.822727855162035	1.20217774032528	2.35324828456585	6.70388824531326	High
TCGA-BH-A0B3-01	2.0477713623436	2.33833816529436	1.466936402313	2.02535672229073	0.562159633887065	3.93470017300703	1.59964229319769	1.53155594414633	2.58829497562388	7.83513483398172	High
TCGA-BH-A0B9-01	3.08804513659655	4.81360092119824	2.09491067668186	2.10672218146132	0.558753111974279	3.677251332765	3.56778489242315	1.49589465389518	1.96403230710084	5.04566985744576	High
TCGA-BH-A0BG-01	2.69155444343839	3.61613748681382	2.01117012680537	2.73327713830829	0.550118834010676	3.85069240612323	2.35799602004124	1.33709585390195	2.83067687331857	6.61737365574387	Low
