CellCyle	HIPPO	MYC	NOTCH	NRF1	PI3K	TGF-Beta	RAS	TP53	WNT
TCGA-A8-A08R-01	2.03767154082825	2.20973217349322	2.7078213405454	3.06049417116533	2.43822972090777	4.65717015065634	1.31180511734351	2.59373718839342	1.20030267918801	1.39042187576244
TCGA-E2-A1LH-01	1.77181146306743	1.91857079351788	2.34659392313145	2.931667633167	2.44497007394856	4.71502049361307	1.02639054694197	2.37232911780274	1.14655526774278	1.26216331459162
TCGA-AR-A1AY-01	2.29776271079789	2.3107543010084	2.40394113859757	2.92986686891662	2.37327573766974	5.0872611146621	1.20590474635702	2.49605527329045	1.17235709446881	1.54820109795255
TCGA-E9-A5FL-01	1.68851788869433	1.80232331012844	2.42333495772562	3.18953774007873	2.40521227928484	5.00006347009673	0.992293111940969	2.07280396465688	0.970820336916109	1.41645458553198
TCGA-AC-A7VC-01	2.19841459116387	1.87723661851017	2.29630322194193	3.46201378959659	2.03014329410103	4.78439113103436	1.13908219380309	2.27167143995277	0.968029286741596	1.4027867451428
TCGA-AC-A2QJ-01	1.53901436409617	1.61797315062989	2.27226942900677	3.12454862355575	1.95666550420009	4.55353430136413	0.920248195578628	1.98020058465245	0.672019302490488	1.11247047692823
TCGA-AR-A0TU-01	1.90612204983342	1.96267558507418	2.45960087427271	2.70534532408554	2.36304536415751	4.52458297250572	0.998985262364619	2.15864542652502	1.23332859048293	0.917968498985276
TCGA-AO-A0J4-01	1.9535705318699	2.22615825415834	2.33010028245875	3.07760060446396	2.74401638266699	4.83367091977117	1.3608545972065	2.72080782805015	1.09095895902088	1.52079075536607
TCGA-A2-A0SX-01	2.37901596366851	2.3674671313348	2.80296764419369	3.3551428363219	2.74020755916255	4.7382575720986	1.35615635491736	2.59495587237979	1.2365368994033	1.54232646921716
TCGA-BH-A18G-01	1.75599241757624	2.09983954225225	2.52850844460786	3.07598635679464	2.62311995500351	4.97007973825322	1.15850749079406	2.45190268531905	1.23579993694608	1.53838300001286
TCGA-AO-A124-01	1.88042882194834	2.20321860526514	2.18675290951429	2.75269407348988	2.64758446499257	4.85331062683441	1.3373454472709	2.3248603662702	0.87593322293824	1.36606163126639
TCGA-A2-A0T0-01	1.93166146758851	2.10333287464479	2.51453175413187	3.12331917477666	2.74082315486043	4.98772797111325	1.04896341038995	2.29402912734774	1.22428484512041	1.44309565922475
TCGA-AO-A12F-01	1.76875860710291	2.18295359562266	1.98973889897087	3.15354782864578	2.41728917128596	4.91888956977669	1.32549828327461	2.5519697393339	1.2682364150167	1.27873919523727
TCGA-D8-A1XQ-01	1.88623222151252	2.09650794819698	2.45252777638867	2.83851290934511	2.40572991365087	4.64582175007536	1.17196335929001	2.45539630641435	1.06176009693776	1.52097865418166
TCGA-A2-A3XY-01	2.12826428070402	2.1069854252245	2.61162033424163	3.43404637053379	2.44363374113512	4.9001455242039	1.37001369834805	2.48642884755137	0.787164362507014	1.59400341916683
TCGA-B6-A400-01	2.2982078428356	2.07041121620563	2.39468765336363	3.34960252410468	2.15664716442841	4.39581373917762	1.2359771792029	2.55400779371611	0.773526182720069	1.74953081926211
TCGA-BH-A0WA-01	2.19408097441308	2.29837237921281	2.35989226464753	3.18710485325932	2.35242911614269	4.67675707449631	1.37088654819306	2.6399446771366	1.10535391923539	1.56631147645736
TCGA-BH-A0RX-01	1.9493376125838	1.83496126850055	2.24522292374235	2.98847561889662	2.35690064007428	4.52920822663196	1.17018889367878	2.27031703790533	1.04582291391468	1.48600633957632
TCGA-BH-A0B3-01	2.17068133829888	2.03537674124865	2.28389664433905	3.02555033527126	2.50153266106691	4.87769944272326	1.12355328839182	2.2545255706499	1.10333982589495	1.34353094219141
TCGA-A7-A0DA-01	2.00191849446093	2.19404984174435	2.84045022433022	3.17956158285928	2.26627642528862	5.10398649126488	1.20078019109586	2.67938317403367	1.14031587028686	1.60527743545508
TCGA-D8-A1XK-01	2.25266860468043	2.13946557388012	2.09827641492633	2.68222618620068	2.6591369108986	4.80279571457764	1.25253801760192	2.47928188233097	1.39410591106767	1.26088575529203
TCGA-BH-A0BG-01	1.8568806657002	2.14044814118428	2.49443628657948	3.04226140185914	2.70441002208781	4.77480750208582	1.05690384943234	2.56081105188853	0.977711367582648	1.5997754665097
TCGA-E2-A14N-01	2.11068316393959	1.98698787384892	2.32385271858616	2.74845587207633	2.58466143028745	4.91969032773712	1.05927481967674	2.21492708496613	1.19252435422067	1.18115992566842
TCGA-D8-A27F-01	1.96608042506107	2.2922307345094	2.62287678779338	3.05709526419723	2.4967847236738	4.75004844716234	1.26791055277325	2.64931473714478	1.15087463121524	1.53843439126025
TCGA-AN-A04D-01	1.94804792658768	2.07908113753077	2.2758192010235	2.7634024862633	2.61420274262937	4.70798313236041	1.00601987738151	2.32942842153286	1.22698323258907	1.43677398974374
TCGA-A7-A26G-01	2.02174217475541	2.24116809895775	2.07635182668673	3.01445547660799	2.71492189815472	5.03931492667391	1.49220119093807	2.5129481957374	1.51454609944521	1.50105727865432
