BTLA	CD200	TNFRSF14	NRP1	LAIR1	TNFSF4	CD244	LAG3	ICOS	CD40LG	CTLA4	CD48	CD28	CD200R1	HAVCR2	ADORA2A	CD276	KIR3DL1	CD80	PDCD1	LGALS9	CD160	TNFSF14	IDO2	ICOSLG	TMIGD2	VTCN1	IDO1	PDCD1LG2	HHLA2	TNFSF18	BTNL2	CD70	TNFSF9	TNFRSF8	CD27	TNFRSF25	VSIR	TNFRSF4	CD40	TNFRSF18	TNFSF15	TIGIT	CD274	CD86	CD44	TNFRSF9
TCGA-E2-A150-01	1.12944758483369	3.74675723520939	4.72809354353224	5.9676297101231	3.52960509770829	2.62152494200131	0.69543631171492	2.68869116415954	2.74395429251615	1.5238797179487	3.01425598622957	3.63810862413658	2.09544975810177	1.2073311447889	4.33578758427109	0.228894040669542	6.72842874536123	0.0650507162547646	1.50726555581064	1.57732007543497	5.47255492696721	0.338076738784805	1.22912529839636	0.21688956540788	0.978012736109791	0.553255805586528	8.7330834359699	4.76380181865451	3.6148376268122	0.124789607817473	1.00849161662737	0.0630128472696073	0.823781925514431	1.66218293626005	1.2000359249688	3.19128905536448	2.55691383959223	4.58450035398043	2.98748576614293	3.84105090126695	3.3950480101788	2.09812205513656	2.883749860436	3.11932614246594	4.04621838188844	7.99193710294443	2.02664598611703
TCGA-S3-AA10-01	2.14396627341679	3.99860783202985	5.31722258486153	4.05005611988051	4.59875112757087	2.10548672450023	1.65362330652913	5.44527219737074	4.04115300490516	2.52764223110139	4.61275160341191	5.57667908197592	2.98135347312494	1.74994133969698	5.26702656886196	0.429482837617205	5.79618571285689	0.180729745804772	2.79581363867383	4.46084413203172	5.77609145520317	1.04723814830635	1.76888580741328	0.775034075276088	0.97565201823151	2.28005527909029	5.46350140717505	9.24709795086095	4.11754282526862	0.0972266068110316	0.428992136728646	0.175280922630804	2.17226772787153	2.7992396494643	1.84973064766968	5.92616256169446	3.87120084251187	6.20274762796869	4.53057654276427	5.54158415383755	4.5096258258261	1.94283249866915	4.23097232842513	4.13528401642656	5.0857852647362	6.75504973063153	2.8992154672814
TCGA-AR-A256-01	0.35235034854042	3.23058025383391	2.84223805574491	4.65480211029782	3.57825683658156	2.77778839948516	0.316064624010264	2.18281744611789	1.93688187160683	0.438821265251106	2.03479800169243	3.1841229389496	1.71411102540803	0.756357185160516	4.54494671557883	0.0365739597614097	6.25568606074316	0.0536402330557489	2.12538787745446	0.732945847191421	4.71716384407274	1.10581221761976	2.96014512032236	0.117412726767186	0.293566381317588	0	7.63114168274573	5.43925716823348	2.50229463134351	0.0628439982498159	0.280308430757268	0.102100771319616	1.11068535055082	1.73452565960344	0.616177642064508	1.83098058024949	3.36279745452378	5.047364507791	2.52459928128091	3.69724696701195	1.2949888557641	4.07994627685356	2.06399741957735	2.12681782970918	4.21299538549544	6.84049546200753	1.98506365552422
TCGA-C8-A27B-01	1.41317035936719	3.09389062748525	3.9164096506979	4.23699087601153	4.32013944914549	2.41304563722577	1.77603815262635	3.65108060783788	2.9897201830184	1.53361212584613	2.47092988786698	5.10140230566479	1.59166719691235	1.40496244611458	4.75159125585974	0.245803617078757	6.02819203517275	0.24794078090064	1.44150263811624	2.2278358763828	4.76133184994468	0.466707815271999	1.57205591304765	0.774224778162801	1.81442274478064	0.369987329386128	7.57024712115629	9.76283814909863	4.92585375667854	0.480858660177362	0.339583755779448	0.116062204732701	1.45378065982338	1.00678748672145	1.32331836642975	4.02612183971651	1.52771195844776	4.54837106516473	2.40905625069842	4.57042302358624	1.41987159485456	4.29104302358128	3.06628582211042	4.66721445656182	4.84551127809622	8.72954084026694	3.40012724916343
TCGA-EW-A3U0-01	2.73747985482783	4.56829840205008	5.23049462873401	4.81546740688518	5.09803796458665	3.13941972954635	2.0479373408355	4.87538971887614	3.6525819724486	3.20414377989124	4.12584630263212	5.82345705756836	3.47595510543184	2.07835274433472	5.20572987779499	0.690938433151924	7.62395539060385	0.867083095959102	1.90433135176587	4.36504152739864	6.27103369690021	0.808901059859403	2.70347572224641	1.04757741982972	1.08330810308659	2.86966037842402	7.44437949980698	5.94629958253788	4.15444983520297	0.215876538751125	1.90325680910585	0.213525422500734	2.04736791560762	1.9175172390179	3.23903406740684	5.94336171085222	4.02156384958949	5.50855096471195	4.72861227735275	5.60999082298992	4.49968727628312	2.08505609968908	4.14448917170116	3.68286460585035	4.875742940878	8.42374300238549	2.96626188112523
TCGA-C8-A26X-01	1.22121513832602	3.94969919812017	4.04706385807052	4.64876614370659	3.83010201226898	2.63820563577919	1.32522465200495	3.41653316131157	2.09371127350515	1.64022133657802	2.43029332811591	4.24627395974981	1.81346463167815	1.50208008637519	4.37934492578554	0.283364072585602	6.57593110592439	0.508002617774131	0.899782613353253	2.51982431392752	4.91346922048706	0.321922903564978	1.34538037637664	0.103614939405354	0.55506242676709	0.863471038248686	3.49168910539252	5.70862116272349	3.19382501253222	0.03253654081228	1.22587267637097	0.040088647897885	1.55777396603083	2.61298657959778	1.32477857420989	5.00169180122715	1.61788507881324	4.70832893623669	3.6727650440855	4.77625134443758	3.63726118778756	0.870605626326073	2.7668675802698	2.56896995906971	4.00116422204967	7.24631061149923	1.95410599203931
TCGA-EW-A1OV-01	2.88682982163952	4.3027457617753	4.41358327207981	4.78542307898973	4.69353370088659	3.25595930009745	1.86516696618902	4.1054391804069	3.30603039989784	3.96183060950487	3.25246697335171	6.15677945969965	3.8852617369935	1.77639187212984	4.18896023385038	0.69252618822236	5.44500660237234	1.00160125834833	1.76572283644033	4.16099765014709	5.32809035512699	1.00061551926612	2.48968334916133	0.456949355856737	0.44294621605025	1.5568241758626	4.11839947826583	4.5487413701212	3.98335237598794	0.126067435614943	2.23101799191248	0.23938578389224	2.21161915100087	1.80997887021822	2.65500295081178	5.94491436348997	3.61784637008123	5.131340636234	4.04872572340901	5.42866469807021	3.61654640388225	1.0174732698272	4.26747425985775	3.18755702309851	4.26557177689158	6.61206723770324	3.05363546131064
TCGA-A2-A1G6-01	0.919654439533763	5.25884971435508	4.46369962411688	5.57040750580757	3.5487444764472	1.31420722495312	1.71645572554098	1.78116626732465	1.10700852710284	1.60853476826733	0.757949084012587	4.13400157286239	1.83765956415718	1.96053249235838	3.68654222984608	0.17763832178594	5.75883578019934	0.0606835089149129	0.562446686350996	1.08827751867512	3.58545070251371	0.732082646700794	0.862107907547415	0	0.771935920031424	0	9.16958276515576	0.775142411976497	3.24281568569893	0.0477643542075791	0.685290927222959	0.501661849794853	0.524383318361173	0.632233265718077	1.13236219626765	3.58459080951659	2.85446376014959	5.61115912253653	1.77063351348292	4.80527670441175	1.47630912880073	2.60500319039987	1.38049012800295	2.46012662666139	3.64443276109607	6.98800332625374	0.47060945663005
TCGA-EW-A6SB-01	1.64735264706987	2.61103797282325	4.63281793993049	1.66447348274579	3.165973085672	1.55166155470775	1.64013429127083	5.03825768937846	2.86151891309429	2.48712277776954	3.56385240124919	4.80653283500779	1.98241629918341	1.28580768423136	3.7109309993736	0.239158646598656	4.60737684217238	0.130938024420242	1.09105291059939	4.26977126163347	4.69185751820867	0.234851037373609	1.31066909934987	0.396091464155995	0.484926764945673	2.13106810798802	5.868987182597	4.60971800574442	2.85924656402854	0	0.373868319916327	0.0521174206374687	2.43458656538346	1.49377682355366	1.64988431812231	6.36765254437027	3.45119961265559	5.01661915585719	3.70933795463878	4.51617365310835	4.51329717822357	1.21481276189849	3.55835492060087	2.04104924415846	3.71455647263865	6.25486492018283	1.9348212304271
TCGA-EW-A1PH-01	0.792062629271903	4.97649117166509	2.91935011686889	4.47145975580778	2.3931693319945	2.406320195016	0.662245753392423	2.83326745654205	2.11208339124013	0.679071836369781	2.13276574676293	3.11386371397719	1.19426293832365	0.64098496385704	3.22767684420925	0.152685292768227	5.89401682337048	0	1.1176056193794	1.81125861530359	3.98021343599357	0.177567353501596	0.575158749012415	0.129121887000317	0.394231037930369	0.49786857221997	8.93806276434284	3.55651467911312	2.97478574217615	0.0407935574605228	1.66708755181143	0.145727035364925	2.2839857412584	3.22348212494332	1.45377633266314	2.87666727344766	2.75160724048711	3.54219970128138	1.72106325307003	3.05781926026201	2.37183959870179	3.0191669800106	1.98035837867808	2.54820449210887	3.63320104282049	5.23698342641044	0.845487590557007
