p.value	HR	Low 95%CI	High 95%CI	coef	Gene	type
0.986643173167991	0.997824847325029	0.773282282719869	1.28756916870926	-0.00217752175558243	SERPINB7	None
0.230253633804964	0.773624734255459	0.508653384922369	1.17662684883769	-0.256668362428298	ACAN	None
0.752584854524482	1.02853120072071	0.863485810731204	1.22512312039057	0.0281317657914468	KLK6	None
0.464831547615773	0.919362070244088	0.733795389433558	1.15185599197612	-0.0840752513619425	CHI3L2	None
0.220672263295842	1.14994713060358	0.919548513172902	1.43807355918671	0.139715967930156	NCCRP1	None
0.554835252086134	1.07641153564666	0.843029032437843	1.37440319311735	0.0736328566904289	PLIN1	None
0.0777227764261927	0.81223922523563	0.644670438038695	1.02336406337866	-0.207960369851008	MIA	None
0.198947282373683	1.13283013601835	0.936527804722128	1.37027871527223	0.124719046727006	FABP4	None
0.0237764647731853	1.7454670218684	1.07691900499509	2.8290475981005	0.557022154155258	DUSP1	Risk
0.143197195070404	1.37632778837412	0.897435481532815	2.11076809423156	0.319418929436825	CCDC80	None
0.0439205096033559	1.50103780628583	1.01112517743256	2.22832399606592	0.406156739733081	FOS	Risk
0.00304978480594557	1.64641954648736	1.18382544165567	2.28977789095706	0.498602958286257	SERPINE1	Risk
0.264150121855721	1.29535044398013	0.822471006844832	2.04011175926603	0.258781271654444	IGFBP4	None
0.383249669789837	1.20562233356528	0.791880534943165	1.83553597676916	0.186995893013641	VWF	None
0.179346274517308	1.39890919456676	0.857016233497577	2.28344208447126	0.335692786190605	SEMA6B	None
0.00245202591070456	2.03850231352508	1.28581806567383	3.23178822353023	0.712215378191947	THBD	Risk
0.0136566998543318	1.95639782895077	1.14768940451764	3.33495495389012	0.671104939966018	CD248	Risk
0.107427137343397	1.56461612380701	0.907239744471872	2.69832051538034	0.44764050560179	LRRC32	None
0.271989743191109	1.283492543975	0.822232257874255	2.00351311282577	0.249584912177006	MRGPRF	None
0.100998416236629	1.6218728595267	0.909977579384052	2.89069932277875	0.483581567618924	PEAR1	None
0.0987014789565519	1.63579403512553	0.912076538161225	2.93376927636666	0.492128334855022	CFH	None
0.1858847356937	1.55385932898075	0.808746118852046	2.98545953789267	0.440741725956695	HOXD9	None
0.0525219409502666	1.42689876562104	0.996132529300291	2.04394498467087	0.355503393876605	CAVIN2	None
0.275271845626526	1.37832684402531	0.774477382193549	2.45298950316667	0.320870331713255	EHD2	None
0.263929185884296	1.36749703225912	0.789683838955078	2.36809725739352	0.312982085117217	ARHGEF15	None
0.0355516711686029	1.65356589928179	1.0345724728108	2.64290830765959	0.502934107064526	ZFP36	Risk
0.0094970215845722	1.91100246018004	1.17142969363757	3.11749857686639	0.647627952635662	ITGA5	Risk
0.0932786439741139	1.68014548081694	0.916618622768601	3.07967650513492	0.518880385390343	TIE1	None
0.214307186390291	1.40766417246321	0.820579961418618	2.41477798094277	0.341931715411334	PECAM1	None
0.0757912616041196	1.84448080023723	0.938428952035752	3.62532444791213	0.612197828804011	ACKR3	None
0.074958346881126	1.35046582780809	0.970209877137157	1.87975611777819	0.300449590567267	SFRP4	None
0.217629463044371	1.33836872951891	0.842071071126341	2.12717301136843	0.291451506340208	MMRN2	None
0.193323962757927	1.48877320386219	0.817378192992144	2.71165253922965	0.397952427703401	SERPINF1	None
0.173947199266264	1.37003834418514	0.870215197679755	2.15694355780295	0.314838727904673	S1PR1	None
0.415620301842783	1.22842088219328	0.7485602709009	2.01589360599166	0.205729508946127	NPR1	None
0.101209630293458	1.54058351219928	0.91885745531943	2.58298775758986	0.432161248685039	ECSCR	None
0.0998026865455829	1.61857500790274	0.912180207006236	2.87200383880885	0.48154613739603	JUN	None
0.51401795562864	1.13385230703947	0.777507612394033	1.65351571313902	0.12562095611757	CTSG	None
0.231220854038653	1.20541912124308	0.887783872671761	1.6366993167893	0.186827324926785	MFAP4	None
0.0589034483451574	1.57037398552585	0.983167297692307	2.50829585178912	0.451313798334656	PODN	None
0.207207736484848	1.37229548953322	0.839191786062146	2.24405784454824	0.316484877494502	LTBP2	None
0.0310067387030255	1.4416542286	1.03397634373632	2.01007201705408	0.365791224117825	IGFBP6	Risk
0.11676707737044	1.46767649102751	0.908680411231449	2.37055212777793	0.383680531946956	MMP2	None
0.549396258693925	1.19098315607875	0.672045872548781	2.11063103874706	0.174779147602083	CDH5	None
0.236060881885696	1.28518630688724	0.848636801236203	1.94630240051391	0.25090369374221	AOC3	None
0.354742702233266	1.2670783542847	0.767496273735663	2.09185061978525	0.236713741798346	CD93	None
0.192984196905479	1.3027881590225	0.874827302297514	1.94010518742594	0.264506705510433	LYVE1	None
0.30678266589542	1.24600134827995	0.817212539350329	1.89977427555098	0.219939502451311	CXCL12	None
0.164453058738384	1.41645829573536	0.86703730134545	2.31403435635826	0.348159598086828	NNMT	None
0.0246849097656348	1.7951833117887	1.07743503906357	2.99106953652219	0.58510714028515	HBEGF	Risk
0.0231492173301123	2.05659481554703	1.10378485006316	3.83189009623831	0.721051612924347	P4HA3	Risk
0.042753904373668	1.64404313676615	1.01636214918224	2.65936491015788	0.497158535198606	EMILIN1	Risk
0.0185399599299424	1.55612403041834	1.07693796554138	2.24852505485598	0.442198133645213	C11orf96	Risk
0.296101031723134	1.14758602928447	0.886412931231499	1.48571128444533	0.13766063119638	ACKR1	None
0.182003830999494	1.4253266775298	0.846995122991484	2.39854526021701	0.354401034836782	EPAS1	None
0.0084810383397326	2.03323913267746	1.19871594905493	3.44874144196573	0.709630153246561	TMEM119	Risk
0.566528208756029	1.15133204319302	0.711090597956565	1.86413022122954	0.140919570493811	CRISPLD2	None
0.209936465867922	1.25230089393025	0.880970403941178	1.78014780283495	0.224982574418349	F13A1	None
0.00446128748647281	2.55883188228343	1.33903833479467	4.88979324314432	0.939550858373747	THY1	Risk
0.0580064963141339	1.85295870393314	0.979291330518207	3.50606183418852	0.616783660996136	ADGRA2	None
0.0230500424573907	1.70024930308296	1.07575016587035	2.68728537940334	0.530774889182607	NDN	Risk
0.206637237104799	1.38555581094806	0.835264536779669	2.2983914924169	0.326101366680692	ANGPTL2	None
0.13522608923528	1.44238729389021	0.891983749019574	2.33242041445563	0.366299583862492	SRPX2	None
0.380296545200727	1.22492804649593	0.778529655042145	1.92728524774193	0.202882104717231	DUSP5	None
0.164577016111563	1.36616700866613	0.879863731524922	2.12125154009136	0.312009014777906	DCN	None
0.0151262820976421	2.11681642598349	1.15591482418969	3.87650689094214	0.749913274166801	PDGFRB	Risk
0.0929112348380736	1.53489285410913	0.931154152680682	2.53008169142879	0.428460576719596	CLEC14A	None
0.0186638003003381	1.88068289892865	1.11106851517092	3.18339338936139	0.631634954995673	HTRA1	Risk
0.121062237053274	1.48149397963161	0.901357529981547	2.43502088647293	0.393051024325362	ZCCHC24	None
0.234077868828516	1.36164634010194	0.818920407695907	2.26405489237909	0.30869451182272	LRP1	None
0.12189571979818	1.5842233714765	0.884378060384682	2.83788551882515	0.460094300796496	SSC5D	None
0.330471507569966	1.30327423080242	0.764455921103747	2.2218726728171	0.26487973709053	HEG1	None
0.00510724664576105	1.65534954017954	1.16326898638876	2.35558768628331	0.504012189054315	VEGFC	Risk
0.191986338048708	1.33820599745444	0.863892382535211	2.07293793512531	0.291329909089039	SLIT3	None
0.548366114366071	1.14303186236848	0.73870498096361	1.7686652615842	0.133684260512053	SLCO2A1	None
0.432915414656752	1.13807581119176	0.82372803602231	1.57238371814347	0.129338951404207	CPA3	None
0.235096831937979	1.33969695003501	0.826709661316327	2.17100150381135	0.292443431695251	APLNR	None
0.00937033080675598	2.73381862156205	1.28025183887226	5.83772975650078	1.00569939431687	TGFB1	Risk
0.360511925358477	1.28436511069034	0.751135689069912	2.19613281802812	0.250264518966999	ADGRL4	None
0.18530549377882	1.34692984399654	0.866876152700317	2.09282490814546	0.297827812921545	SVEP1	None
0.449129035081899	1.15160406561586	0.799013564328549	1.65978649568663	0.141155810155917	SELP	None
0.0123817685666779	2.22856681136702	1.18931145433243	4.1759540906081	0.80135869337554	LOXL1	Risk
0.122582086155827	1.45684243974372	0.903605810305544	2.348800627478	0.376271381175873	COL1A1	None
0.386794205826011	1.2000738577135	0.794011277968183	1.81379950628996	0.182383102994528	CH25H	None
0.149545330903769	1.41524351538288	0.88246859132788	2.26967194925253	0.347301611965384	COL1A2	None
0.151895324849011	1.41863755395115	0.879290873727186	2.28881314433491	0.349696941979623	GASK1B	None
0.036368337633103	1.74836963694726	1.03609366042502	2.95030893842663	0.558683717662716	ECM1	Risk
0.0221231167188269	1.77886605437404	1.08614248826368	2.91339715884133	0.575976113198158	COL5A1	Risk
0.201864148964458	1.16035175940661	0.923418602022536	1.45807784531197	0.14872320001782	COL17A1	None
0.0263366422407954	1.58363018124978	1.0555583617282	2.37588431099083	0.459719794700318	FOLR2	Risk
0.130684202631669	1.40290960326287	0.904408554554125	2.17617949876369	0.338548368013104	COL3A1	None
0.00560273238169892	2.12986159234795	1.24748260230784	3.63637167698114	0.756056997491702	STAB1	Risk
0.0868859640767843	1.57853957036241	0.936036148214289	2.66206297689851	0.456500097033925	FAP	None
0.255658808476482	1.39636697296369	0.785209411369032	2.48321109624015	0.333873844410527	F2R	None
0.194847163694751	1.17456968914845	0.920937624492439	1.4980536335744	0.160901858519146	C7	None
0.199784671190737	1.2098608179169	0.90419704737937	1.61885421211335	0.190505326477633	CADM3	None
0.0885958588712722	1.63164522113707	0.928743475721457	2.86652471565559	0.48958884390035	IL4R	None
